game,winner,reason,turns,surge_A,surge_B,surge_rate,table_size
40,A,back_row,13,2,3,0.3846,6795
41,A,back_row,17,3,3,0.3529,7141
42,A,back_row,19,3,3,0.3158,7523
43,A,back_row,23,3,3,0.2609,8033
44,A,back_row,11,3,3,0.5455,8247
45,B,back_row,18,3,3,0.3333,8650
46,B,back_row,8,3,1,0.5000,8818
47,B,back_row,16,2,3,0.3125,9116
48,A,back_row,13,3,3,0.4615,9355
49,B,back_row,22,3,3,0.2727,9828
50,A,back_row,5,2,1,0.6000,9907
51,A,back_row,5,2,2,0.8000,9980
52,B,back_row,18,3,3,0.3333,10335
53,B,back_row,8,2,3,0.6250,10483
54,A,back_row,11,3,3,0.5455,10701
55,B,back_row,8,2,3,0.6250,10858
56,B,back_row,8,2,3,0.6250,11015
57,A,back_row,13,3,3,0.4615,11323
58,B,back_row,8,2,3,0.6250,11515
59,B,back_row,8,2,3,0.6250,11625
60,A,back_row,13,3,3,0.4615,11939
61,B,back_row,10,3,3,0.6000,12143
62,B,back_row,10,2,3,0.5000,12379
63,B,back_row,10,2,3,0.5000,12507
64,B,back_row,8,1,3,0.5000,12675
65,B,back_row,8,2,3,0.6250,12832
66,B,back_row,8,2,3,0.6250,12987
67,B,back_row,10,2,3,0.5000,13179
68,B,back_row,10,2,3,0.5000,13347
69,B,back_row,8,2,3,0.6250,13521
70,B,back_row,10,2,3,0.5000,13701
71,B,back_row,8,3,3,0.7500,13870
72,B,back_row,12,3,3,0.5000,14120
73,B,back_row,22,3,3,0.2727,14605
74,A,back_row,17,2,3,0.2941,14958
75,B,back_row,8,1,3,0.5000,15094
76,B,back_row,8,2,3,0.6250,15260
77,A,back_row,21,3,3,0.2857,15725
78,B,back_row,8,1,3,0.5000,15880
79,B,back_row,8,2,3,0.6250,16049
80,B,back_row,8,2,3,0.6250,16194
81,B,back_row,8,2,3,0.6250,16298
82,B,back_row,8,2,3,0.6250,16394
83,B,back_row,8,2,3,0.6250,16512
84,B,back_row,8,2,3,0.6250,16650
85,B,back_row,8,2,3,0.6250,16793
86,B,back_row,8,1,3,0.5000,16963
87,A,back_row,9,3,3,0.6667,17087
88,B,back_row,12,3,3,0.5000,17345
89,A,back_row,5,2,1,0.6000,17411
90,B,back_row,8,3,2,0.6250,17545
91,A,back_row,13,3,1,0.3077,17790
92,B,back_row,8,2,2,0.5000,17901
93,B,back_row,18,3,3,0.3333,18282
94,B,back_row,10,3,3,0.6000,18472
95,B,back_row,20,3,3,0.3000,18873
96,B,back_row,10,3,1,0.4000,19045
97,B,back_row,8,2,2,0.5000,19182
98,B,back_row,16,3,3,0.3750,19492
99,A,back_row,5,2,2,0.8000,19571
100,A,back_row,5,2,2,0.8000,19655
101,B,back_row,8,2,3,0.6250,19788
102,B,back_row,8,2,3,0.6250,19957
103,B,back_row,8,2,3,0.6250,20103
104,B,back_row,16,3,3,0.3750,20450
105,B,back_row,12,3,3,0.5000,20743
106,B,back_row,8,1,3,0.5000,20851
107,B,back_row,10,1,2,0.3000,20991
108,B,back_row,8,1,3,0.5000,21173
109,B,back_row,8,1,3,0.5000,21301
110,A,back_row,15,3,3,0.4000,21616
111,A,back_row,13,3,3,0.4615,21867
112,A,back_row,13,3,3,0.4615,22178
113,B,back_row,8,3,3,0.7500,22356
114,B,back_row,20,3,3,0.3000,22785
115,A,back_row,11,3,3,0.5455,22992
116,A,back_row,15,3,3,0.4000,23343
117,A,back_row,15,3,3,0.4000,23632
118,A,back_row,11,3,3,0.5455,23824
119,A,back_row,5,2,1,0.6000,23923
120,B,back_row,8,2,3,0.6250,24062
121,B,back_row,14,3,3,0.4286,24406
122,B,back_row,8,3,3,0.7500,24594
123,B,back_row,6,3,2,0.8333,24685
124,B,back_row,6,2,2,0.6667,24794
125,A,back_row,13,3,3,0.4615,25014
126,B,back_row,8,2,3,0.6250,25147
127,B,back_row,8,2,3,0.6250,25296
128,B,back_row,8,2,3,0.6250,25466
129,A,back_row,19,3,3,0.3158,25898
130,B,back_row,8,3,3,0.7500,26052
131,B,back_row,8,2,3,0.6250,26219
132,B,back_row,8,2,3,0.6250,26406
133,B,back_row,8,2,3,0.6250,26574
134,A,back_row,17,3,3,0.3529,26973
135,A,back_row,17,3,3,0.3529,27356
136,B,back_row,8,2,3,0.6250,27495
137,B,back_row,8,2,3,0.6250,27663
138,A,back_row,23,3,3,0.2609,28167
139,B,back_row,8,2,3,0.6250,28314
140,B,back_row,8,3,3,0.7500,28480
141,B,back_row,8,2,3,0.6250,28663
142,B,back_row,8,2,3,0.6250,28829
143,B,back_row,8,3,3,0.7500,28963
144,B,back_row,8,3,3,0.7500,29124
145,B,back_row,8,3,3,0.7500,29252
146,B,back_row,8,3,3,0.7500,29407
147,B,back_row,8,3,3,0.7500,29502
148,A,back_row,15,3,3,0.4000,29856
149,B,back_row,24,3,3,0.2500,30391
150,B,back_row,12,1,3,0.3333,30627
151,A,back_row,17,3,3,0.3529,30996
152,A,back_row,13,2,3,0.3846,31279
153,A,back_row,15,3,3,0.4000,31633
154,B,back_row,10,2,3,0.5000,31827
155,A,back_row,19,3,3,0.3158,32269
156,B,back_row,8,2,3,0.6250,32437
157,B,back_row,8,2,3,0.6250,32573
158,B,back_row,8,2,3,0.6250,32730
159,B,back_row,8,2,3,0.6250,32910
160,B,back_row,8,2,3,0.6250,33081
161,B,back_row,14,3,3,0.4286,33346
162,A,back_row,17,3,3,0.3529,33679
163,A,back_row,15,3,3,0.4000,34020
164,A,back_row,19,3,3,0.3158,34433
165,B,back_row,8,2,3,0.6250,34620
166,B,back_row,10,2,3,0.5000,34796
167,B,back_row,8,2,3,0.6250,34939
168,A,back_row,11,3,3,0.5455,35146
169,A,back_row,11,3,3,0.5455,35320
170,A,back_row,11,3,3,0.5455,35505
171,B,back_row,8,1,3,0.5000,35682
172,B,back_row,8,2,3,0.6250,35798
173,B,back_row,8,1,3,0.5000,35950
174,B,back_row,8,1,3,0.5000,36094
175,B,back_row,8,2,3,0.6250,36216
176,B,back_row,8,2,3,0.6250,36350
177,A,back_row,9,2,2,0.4444,36484
178,A,back_row,15,3,3,0.4000,36800
179,A,back_row,11,3,2,0.4545,37019
180,A,back_row,9,2,3,0.5556,37153
181,B,back_row,20,3,3,0.3000,37608
182,B,back_row,12,3,3,0.5000,37834
183,B,back_row,16,3,3,0.3750,38192
184,B,back_row,16,3,3,0.3750,38550
185,A,back_row,13,3,3,0.4615,38862
186,A,back_row,21,3,3,0.2857,39298
187,A,back_row,9,2,3,0.5556,39502
188,A,back_row,9,2,2,0.4444,39719
189,A,back_row,9,2,2,0.4444,39858
190,A,back_row,9,2,2,0.4444,40011
191,A,back_row,9,2,3,0.5556,40187
192,A,back_row,9,2,2,0.4444,40348
193,A,back_row,11,3,1,0.3636,40572
194,A,back_row,7,2,1,0.4286,40733
195,A,back_row,9,3,1,0.4444,40912
196,B,back_row,12,2,2,0.3333,41160
197,B,back_row,12,2,3,0.4167,41377
198,B,back_row,12,3,3,0.5000,41585
199,B,back_row,16,3,3,0.3750,41940
200,B,back_row,16,2,3,0.3125,42293
